mesa,status,comprador,telefone,vendedor,pagamento,valor,data_hora,observacao
1,Disponível,,,,,50.0,,
2,Disponível,,,,,50.0,,
3,Disponível,,,,,50.0,,
4,Disponível,,,,,50.0,,
5,Disponível,,,,,50.0,,
6,Disponível,,,,,50.0,,
7,Disponível,,,,,50.0,,
8,Disponível,,,,,50.0,,
9,Disponível,,,,,50.0,,
10,Disponível,,,,,50.0,,
11,Disponível,,,,,50.0,,
12,Disponível,,,,,50.0,,
13,Disponível,,,,,50.0,,
14,Disponível,,,,,50.0,,
15,Disponível,,,,,50.0,,
16,Disponível,,,,,50.0,,
17,Disponível,,,,,50.0,,
18,Disponível,,,,,50.0,,
19,Disponível,,,,,50.0,,
20,Disponível,,,,,50.0,,
21,Disponível,,,,,50.0,,
22,Disponível,,,,,50.0,,
23,Disponível,,,,,50.0,,
24,Disponível,,,,,50.0,,
25,Disponível,,,,,50.0,,
26,Disponível,,,,,50.0,,
27,Disponível,,,,,50.0,,
28,Disponível,,,,,50.0,,
29,Disponível,,,,,50.0,,
30,Disponível,,,,,50.0,,
31,Disponível,,,,,50.0,,
32,Disponível,,,,,50.0,,
33,Disponível,,,,,50.0,,
34,Disponível,,,,,50.0,,
35,Disponível,,,,,50.0,,
36,Disponível,,,,,50.0,,
37,Disponível,,,,,50.0,,
38,Disponível,,,,,50.0,,
39,Disponível,,,,,50.0,,
40,Disponível,,,,,50.0,,
41,Disponível,,,,,50.0,,
42,Disponível,,,,,50.0,,
43,Disponível,,,,,50.0,,
44,Disponível,,,,,50.0,,
45,Disponível,,,,,50.0,,
46,Disponível,,,,,50.0,,
47,Disponível,,,,,50.0,,
48,Disponível,,,,,50.0,,
49,Disponível,,,,,50.0,,
50,Disponível,,,,,50.0,,
51,Disponível,,,,,50.0,,
52,Disponível,,,,,50.0,,
53,Disponível,,,,,50.0,,
54,Disponível,,,,,50.0,,
55,Disponível,,,,,50.0,,
56,Disponível,,,,,50.0,,
57,Disponível,,,,,50.0,,
58,Disponível,,,,,50.0,,
59,Disponível,,,,,50.0,,
60,Disponível,,,,,50.0,,
61,Disponível,,,,,50.0,,
62,Disponível,,,,,50.0,,
63,Disponível,,,,,50.0,,
64,Disponível,,,,,50.0,,
65,Disponível,,,,,50.0,,
66,Disponível,,,,,50.0,,
67,Disponível,,,,,50.0,,
68,Disponível,,,,,50.0,,
69,Disponível,,,,,50.0,,
70,Disponível,,,,,50.0,,
71,Disponível,,,,,50.0,,
72,Disponível,,,,,50.0,,
73,Disponível,,,,,50.0,,
74,Disponível,,,,,50.0,,
75,Disponível,,,,,50.0,,
76,Disponível,,,,,50.0,,
77,Disponível,,,,,50.0,,
78,Disponível,,,,,50.0,,
79,Disponível,,,,,50.0,,
80,Disponível,,,,,50.0,,
81,Disponível,,,,,50.0,,
82,Disponível,,,,,50.0,,
83,Disponível,,,,,50.0,,
84,Disponível,,,,,50.0,,
85,Disponível,,,,,50.0,,
86,Disponível,,,,,50.0,,
87,Disponível,,,,,50.0,,
88,Disponível,,,,,50.0,,
89,Disponível,,,,,50.0,,
90,Disponível,,,,,50.0,,
91,Disponível,,,,,50.0,,
92,Disponível,,,,,50.0,,
93,Disponível,,,,,50.0,,
94,Disponível,,,,,50.0,,
95,Disponível,,,,,50.0,,
96,Disponível,,,,,50.0,,
97,Disponível,,,,,50.0,,
98,Disponível,,,,,50.0,,
99,Disponível,,,,,50.0,,
100,Disponível,,,,,50.0,,
